ax,ay,az,gx,gy,gz
-0.035400,0.009277,1.095947,-6.343512,1.175573,2.893130
0.067871,0.062988,1.037598,-6.564886,2.580153,6.396946
0.026855,-0.001953,1.106445,-5.290076,0.832061,-0.091603
0.019531,0.017090,1.111328,-5.374046,1.251908,0.061069
0.037354,0.010986,1.108643,-5.290076,0.893130,-0.061069
0.018799,0.020752,1.106689,-5.221374,0.793893,-0.007634
-0.001221,0.016113,1.121338,-5.061069,0.969466,-0.053435
0.021484,0.008301,1.107910,-5.175572,1.160305,0.167939
0.066895,0.025879,1.087646,-5.992366,1.984733,0.358779
0.012939,0.025391,1.100342,-5.671756,1.992366,-2.114504
0.034668,0.000977,1.119629,-4.671756,1.778626,-0.984733
0.113281,0.010010,1.099854,-5.167939,12.664123,-6.709924
0.021240,-0.003174,1.119141,-4.717557,16.961832,-11.450381
-0.007080,0.020752,1.124512,-4.526718,30.702290,-2.419847
0.008301,0.037109,1.053711,-4.435114,46.671757,-3.435115
-0.010254,0.007813,1.136963,-3.526718,64.435112,0.167939
-0.066895,0.020752,1.140869,-2.969466,80.885498,2.312977
-0.073486,-0.013672,1.151367,-2.748092,107.954200,5.648855
-0.115723,-0.051514,1.138672,1.374046,140.549620,-12.503817
-0.143799,-0.013672,1.130615,-0.114504,164.465650,1.396947
-0.313965,0.066650,1.063477,-5.015267,169.419850,15.961832
-0.363037,0.017578,0.971436,-5.152672,171.030530,10.763359
-0.297607,0.023926,1.003906,-5.740458,166.519090,5.236641
-0.676270,0.042969,0.939453,-4.122138,168.702290,9.763359
-0.599365,0.011963,0.809082,-12.030535,164.343510,15.839695
-0.674316,-0.002441,0.912354,2.503817,141.198470,13.221375
-0.663574,0.042969,0.799561,6.694656,125.465650,12.480916
-0.751465,0.003906,0.723145,9.801527,115.847330,5.045802
-0.765869,0.051270,0.721191,20.625954,117.290080,-2.442748
-0.781738,0.062256,0.657227,18.603054,99.564888,2.007634
-0.819092,0.085449,0.621338,7.648855,88.770996,11.816793
-0.859131,0.076416,0.528564,-6.679389,81.603050,6.106870
-0.833252,0.048340,0.640137,4.992366,64.725189,3.083969
-0.866699,-0.025391,0.534912,9.671756,63.435116,-1.992366
-0.886963,0.036133,0.481689,11.885496,64.679390,-8.022901
-0.886475,0.062500,0.465332,11.824428,50.671757,-12.328244
-0.902588,0.022705,0.453613,17.152672,51.465649,-10.290076
-0.894775,0.137207,0.504150,18.244274,59.870228,-11.343512
-0.905273,0.159180,0.466064,19.091602,49.198475,-9.320611
-0.909912,0.000977,0.360352,18.312977,46.641220,-7.610687
-0.948486,0.118408,0.288574,16.076336,43.862595,-6.969466
-1.000732,0.094727,0.440918,3.664122,46.992367,-5.526718
-0.992676,0.106201,0.549072,12.580153,38.671757,-3.343511
-0.959961,0.133301,0.400635,6.022901,36.587788,0.977099
-0.962891,0.128662,0.276611,0.389313,45.267174,-1.229008
-0.936279,0.108643,0.365479,-15.732824,38.343510,0.290076
-0.989746,0.073242,0.276367,-21.229008,36.351147,1.824427
-0.989014,0.066895,0.264893,-22.045801,34.641220,3.488550
-0.978516,0.070557,0.260742,-18.450382,36.793892,4.702290
-0.985840,0.052490,0.208008,-7.419847,24.549618,-0.396947
-1.011719,0.130371,0.265625,0.137405,18.137405,-0.946565
-0.998047,0.077393,0.190674,-12.106871,-2.374046,-1.374046
-0.953125,0.064697,0.248047,-15.061069,1.557252,-0.916031
-0.977783,0.032959,0.287354,-7.679389,6.183206,-0.717557
-0.983643,0.085693,0.229248,-2.503817,7.091603,-2.183206
-0.996338,0.076660,0.234863,-1.893130,-2.274809,-3.007634
-0.975098,0.023682,0.223389,4.061069,-11.160305,-3.587786
-0.980225,0.084961,0.212646,2.564885,-7.931298,-1.916031
-0.974365,0.081299,0.227539,0.160305,-0.335878,-1.595420
-0.987305,0.090820,0.223633,-2.580153,-0.709924,-1.000000
-0.992188,0.051025,0.259033,-0.610687,2.564885,-1.396947
-0.987305,0.057373,0.245605,2.648855,7.709924,-0.809160
-0.974609,0.077637,0.213379,4.061069,11.351145,-0.190840
-0.956055,0.078369,0.221924,4.076336,8.641221,-2.511450
-0.989502,0.077393,0.186279,-0.717557,-2.961832,-3.862595
-0.978516,0.074463,0.232422,-5.961832,-3.534351,-3.106870
-0.975830,0.041260,0.240234,-5.221374,-2.435115,-1.244275
-0.982422,0.072754,0.220947,0.366412,0.473282,-2.801527
-0.982910,0.062988,0.224365,0.969466,-4.137404,-3.183206
-0.973877,0.058594,0.228516,3.206107,-5.557252,-4.412214
-0.962402,0.071533,0.203857,-5.595420,1.572519,-5.221374
-0.973145,0.056152,0.250244,-5.320611,5.595420,-5.557252
-0.984375,0.053223,0.229004,-1.534351,7.297710,-5.740458
-0.967041,0.023682,0.222656,-3.297710,4.687023,-6.702290
