ax,ay,az,gx,gy,gz
-0.049072,0.028320,1.085205,-10.740458,-4.763359,-3.282443
-0.055420,0.022949,1.083252,-7.709924,-6.809160,-2.862595
-0.073975,0.022949,1.074707,-1.633588,-11.694656,-2.091603
-0.061035,0.036621,1.079834,-12.549619,-13.931297,0.022901
-0.046875,0.037842,1.106934,-14.274809,-5.725191,0.847328
-0.049805,0.008545,1.108643,-8.198473,-2.328244,0.061069
-0.057617,0.000732,1.072998,0.137405,-3.618321,-1.053435
-0.062500,0.030518,1.072266,-12.839695,-6.580153,-2.435115
-0.042725,-0.004883,1.107910,-10.580153,-4.870229,-7.442748
-0.035645,0.014160,1.124023,5.793893,8.244275,-13.312977
-0.063721,0.036377,1.077881,2.206107,9.404580,-11.816793
-0.125000,0.005615,1.111328,-0.458015,6.801527,-8.244275
-0.098877,0.010742,1.124756,3.366412,12.351145,-6.740458
-0.060547,0.037598,1.082275,-0.061069,15.885496,-7.366412
-0.072510,0.042480,1.082031,-5.007634,12.816793,-4.786260
-0.084473,0.041260,1.054199,-7.068702,8.717557,-1.122137
-0.093506,0.022217,1.079346,-5.229008,1.580153,1.152672
-0.067871,0.024658,1.105225,-6.648855,6.396946,1.267176
-0.061523,0.032959,1.072998,-15.061069,11.152672,-2.473282
-0.067383,0.052734,1.084229,-22.511450,7.572519,-1.290076
-0.103516,0.007080,1.098145,-5.496183,6.702290,-1.572519
-0.092041,0.027588,1.048584,-16.335878,3.106870,3.396947
-0.083008,-0.001709,1.090820,-22.022902,6.992366,8.595420
-0.084229,0.004639,1.071533,-20.656488,7.916030,13.526717
-0.111328,-0.029785,1.116699,-15.312977,-1.404580,10.725191
-0.106689,-0.019531,1.096680,-5.801527,0.580153,4.938931
-0.124023,-0.006104,1.085205,-7.244275,-3.633588,2.236641
-0.097168,-0.006592,1.078613,-5.870229,-4.427481,1.412214
-0.095947,-0.019287,1.093018,-2.801527,-3.145038,1.229008
-0.093506,-0.034668,1.084961,0.946565,-1.236641,-0.709924
-0.088135,0.005859,1.080322,-2.068702,-1.000000,-0.977099
-0.068359,0.021240,1.065186,-2.137405,2.610687,5.793893
-0.099609,-0.015869,1.123535,3.938931,2.961832,5.870229
-0.086670,0.002930,1.060791,-7.198473,-2.320611,2.931298
-0.083740,-0.010742,1.114258,-8.442748,-2.793893,-0.770992
-0.099365,-0.012939,1.038330,-7.488550,-2.396947,-0.580153
-0.097168,-0.014404,1.130371,-6.793893,0.893130,0.045802
-0.090820,0.003418,1.087158,-5.145038,0.412214,-1.091603
-0.089111,-0.002686,1.084229,-5.854962,-0.702290,-0.099237
-0.083008,-0.010986,1.084961,-2.244275,2.007634,4.206107
-0.102539,-0.010742,1.091309,-7.129771,0.328244,4.083970
-0.067139,0.021484,1.037842,-4.404580,1.221374,1.992366
-0.094727,0.011475,1.090088,-6.923664,1.328244,3.458015
-0.106445,-0.002441,1.103027,-2.992366,-1.366412,-0.160305
-0.095459,-0.020020,1.081299,-5.603054,-4.152672,-6.290076
-0.091797,0.011475,1.078613,-9.702291,-3.847328,-5.786260
-0.072510,0.002930,1.067139,-7.473282,-1.137405,-2.297710
-0.072998,0.033203,1.055908,-8.694656,1.282443,1.687023
-0.065430,-0.006836,1.093262,-10.595420,-1.992366,4.030534
-0.082520,-0.026611,1.076660,-8.389313,-3.473282,-0.351145
-0.078369,-0.023193,1.069336,-5.381680,-0.610687,-2.305344
-0.055420,0.003662,1.065674,-8.419847,-0.259542,0.114504
-0.093018,-0.002930,1.099609,-6.152672,-1.969466,-3.503817
-0.086914,-0.006592,1.060791,-9.564885,-3.198473,-4.129771
-0.091064,-0.005859,1.078857,-4.076336,2.045802,-2.702290
-0.098877,-0.030518,1.102783,-5.290076,0.229008,-3.480916
-0.094971,-0.005127,1.074707,-6.282443,-2.267176,-6.801527
-0.062988,-0.023193,1.089111,-8.259542,-3.122137,-6.114504
-0.054443,-0.019287,1.084229,-3.351145,2.213740,-4.091603
-0.058350,-0.008789,1.093750,-2.938931,3.343511,-4.274809
-0.069092,-0.001221,1.103760,-5.167939,0.603053,-4.083970
-0.074219,-0.017822,1.086670,-3.007634,0.358779,-3.564885
-0.070068,-0.000244,1.047363,-2.740458,1.740458,-5.442748
-0.075439,-0.004883,1.088623,-7.114504,0.374046,-4.396946
-0.091309,-0.007568,1.073975,-4.824428,0.022901,-5.274809
-0.097900,-0.002686,1.077393,-6.282443,-0.381679,-3.519084
-0.094971,-0.002197,1.076416,-4.687023,1.412214,-1.152672
-0.092529,-0.005615,1.082520,-4.045802,1.442748,0.221374
-0.101318,-0.024414,1.088379,-3.992366,0.526718,0.450382
-0.080322,-0.019043,1.075928,-5.954198,-0.854962,-0.870229
-0.080078,-0.019531,1.088867,-5.595420,0.030534,-0.038168
-0.071777,-0.003662,1.097656,-2.152672,3.068702,2.931298
-0.088379,-0.011963,1.083984,-5.297710,0.557252,1.839695
-0.073242,0.000000,1.075684,-6.106870,0.366412,0.862595
-0.078857,-0.017090,1.099609,-4.656488,1.847328,1.709924
-0.074463,-0.022949,1.097168,-3.854962,1.847328,1.213740
-0.075439,-0.004150,1.086670,-4.839694,1.114504,1.022901
-0.074463,-0.019043,1.079346,-6.068702,0.450382,1.061069
-0.073242,-0.022217,1.097168,-5.198473,1.045802,0.786260
-0.073975,-0.005371,1.083252,-5.206107,0.854962,0.511450
-0.073730,-0.013916,1.085938,-5.076336,0.045802,0.465649
-0.085693,-0.014648,1.079834,-5.541985,0.358779,0.343511
-0.084717,-0.013428,1.093750,-5.908397,0.801527,0.045802
-0.073486,-0.013672,1.097900,-6.648855,0.114504,0.015267
-0.070801,-0.007324,1.081055,-6.244275,-0.335878,0.076336
-0.086426,-0.020264,1.092285,-5.641222,0.549618,-0.213740
-0.073975,-0.016846,1.089355,-4.015267,1.061069,0.717557
-0.077637,-0.021484,1.082275,-6.274809,0.541985,0.320611
-0.063965,-0.009277,1.086914,-5.671756,1.312977,-0.091603
-0.081543,-0.014648,1.100098,-5.381680,0.229008,0.190840
-0.077393,-0.011963,1.087646,-5.038168,0.312977,0.748092
-0.074219,-0.019531,1.079346,-5.160306,0.893130,0.396947
-0.070313,-0.018311,1.088135,-6.114504,0.862595,-0.206107
-0.076172,-0.023193,1.096191,-5.305344,0.320611,-0.465649
-0.075684,-0.013916,1.089111,-5.389313,0.160305,-0.954198
-0.086182,-0.004883,1.086182,-4.419847,0.312977,-0.343511
-0.081543,-0.014404,1.088867,-4.763359,0.931298,0.282443
-0.083252,-0.010742,1.087402,-6.106870,0.572519,-0.045802
-0.078857,-0.012207,1.084473,-6.419847,-0.213740,0.206107
-0.076172,-0.017578,1.084961,-5.274809,0.839695,0.473282
-0.079346,-0.013428,1.087402,-4.641222,1.152672,0.167939
-0.084473,-0.024414,1.084717,-5.106870,0.923664,-0.320611
-0.081787,-0.006592,1.099609,-6.030534,0.076336,-0.603053
-0.078125,-0.025635,1.091309,-4.885496,0.603053,0.335878
-0.075684,-0.021240,1.086670,-3.977099,1.251908,0.458015
-0.078857,-0.013916,1.077148,-5.251908,0.198473,-0.267176
-0.079834,-0.019287,1.090332,-5.671756,0.160305,-0.587786
-0.082031,-0.018311,1.092773,-4.618320,0.366412,-0.114504
-0.076416,-0.014160,1.079590,-5.091603,0.908397,0.068702
-0.078857,-0.015137,1.081543,-5.984733,0.106870,-0.351145
-0.083496,-0.023438,1.092773,-5.152672,0.572519,-0.206107
-0.077393,-0.020020,1.089600,-4.648855,1.480916,0.244275
-0.077881,-0.007568,1.093506,-4.114504,1.282443,0.145038
-0.080078,-0.017334,1.085938,-5.885496,0.419847,-0.694656
-0.077637,-0.025391,1.098145,-5.297710,0.625954,-0.274809
