ax,newAx,lin_ax,new_lin_ax
-0.9927,-0.0463,0.0447,-0.0014
-0.9976,-0.0476,0.0442,-0.0030
-0.9939,-0.0461,0.0465,-0.0013
-0.9937,-0.0475,0.0460,-0.0029
-0.9990,-0.0467,0.0475,-0.0013
-0.9922,-0.0468,0.0482,-0.0027
-0.9922,-0.0467,0.0491,-0.0014
-0.9922,-0.0468,0.0498,-0.0025
-0.9856,-0.0461,0.0513,-0.0013
-0.9917,-0.0473,0.0509,-0.0024
-0.9895,-0.0460,0.0530,-0.0013
-0.9954,-0.0477,0.0521,-0.0024
-0.9927,-0.0459,0.0547,-0.0011
-0.9829,-0.0467,0.0547,-0.0023
-1.0090,-0.0484,0.0538,-0.0013
-0.9932,-0.0454,0.0576,-0.0018
-0.9937,-0.0481,0.0556,-0.0015
-0.9929,-0.0456,0.0590,-0.0015
-0.9910,-0.0477,0.0576,-0.0017
-0.9863,-0.0453,0.0608,-0.0012
-0.9944,-0.0482,0.0587,-0.0018
-0.9951,-0.0457,0.0621,-0.0010
-0.9885,-0.0474,0.0611,-0.0018
-0.9900,-0.0460,0.0634,-0.0009
-0.9883,-0.0471,0.0630,-0.0018
-0.9893,-0.0461,0.0648,-0.0008
-0.9941,-0.0475,0.0642,-0.0017
-0.9922,-0.0461,0.0664,-0.0007
-0.9875,-0.0469,0.0664,-0.0016
-0.9900,-0.0464,0.0677,-0.0006
-0.9919,-0.0471,0.0678,-0.0015
-0.9937,-0.0466,0.0691,-0.0006
-0.9900,-0.0467,0.0698,-0.0014
-0.9915,-0.0467,0.0705,-0.0006
-0.9949,-0.0470,0.0711,-0.0013
-0.9863,-0.0460,0.0729,-0.0005
-0.9937,-0.0476,0.0721,-0.0013
-0.9905,-0.0459,0.0746,-0.0003
-0.9893,-0.0473,0.0739,-0.0013
-0.9941,-0.0464,0.0756,-0.0003
-0.9885,-0.0467,0.0761,-0.0011
-1.0015,-0.0476,0.0760,-0.0004
-0.9978,-0.0465,0.0779,-0.0009
-0.9946,-0.0472,0.0780,-0.0004
-0.9939,-0.0465,0.0795,-0.0007
-0.9915,-0.0469,0.0798,-0.0004
-0.9995,-0.0472,0.0803,-0.0006
-0.9915,-0.0462,0.0821,-0.0003
-0.9905,-0.0471,0.0821,-0.0006
-0.9910,-0.0464,0.0836,-0.0002
-0.9946,-0.0473,0.0834,-0.0006
-0.9895,-0.0460,0.0855,-0.0000
-0.9937,-0.0476,0.0847,-0.0006
-0.9954,-0.0463,0.0000,0.0001
-0.9897,-0.0470,0.0869,-0.0005
-0.9985,-0.0471,0.0000,0.0001
-0.9863,-0.0459,0.0896,-0.0003
-0.9951,-0.0478,0.0884,-0.0000
-0.9905,-0.0456,0.0000,0.0000
-0.9912,-0.0477,0.0901,-0.0001
-0.9958,-0.0462,0.0000,0.0002
-0.9951,-0.0475,0.0919,-0.0001
-0.9941,-0.0463,0.0000,0.0004
-0.9932,-0.0473,0.0937,-0.0001
-0.9888,-0.0460,0.0000,0.0005
-0.9971,-0.0479,0.0946,-0.0002
-0.9934,-0.0458,0.0000,0.0007
-0.9985,-0.0482,0.0959,-0.0002
-0.9905,-0.0453,0.0000,0.0009
-0.9917,-0.0480,0.0976,-0.0003
-0.9888,-0.0453,0.0000,0.0012
-0.9956,-0.0484,0.0988,-0.0004
-0.9956,-0.0456,0.0000,0.0013
-0.9946,-0.0481,0.1008,-0.0004
-0.9946,-0.0458,0.0000,0.0015
-1.0017,-0.0485,0.1019,-0.0004
-0.9985,-0.0457,0.0000,0.0016
-0.9822,-0.0468,0.1052,-0.0002
-1.0012,-0.0475,0.0000,0.0015
-0.9961,-0.0464,0.0000,0.0001
-0.9910,-0.0470,0.0000,0.0013
-0.9890,-0.0463,0.0000,0.0003
-0.9934,-0.0473,0.0000,0.0012
-1.0037,-0.0473,0.0000,0.0005
-0.9888,-0.0460,0.0000,0.0014
-0.9929,-0.0475,0.0000,0.0005
-0.9934,-0.0462,0.0000,0.0015
-1.0012,-0.0481,0.0000,0.0005
-0.9890,-0.0452,0.1153,0.0017
-0.9834,-0.0473,0.0000,0.0005
-0.9988,-0.0468,0.1153,0.0017
-0.9966,-0.0471,0.0000,0.0006
-0.9917,-0.0464,0.1173,0.0018
-0.9878,-0.0467,0.0000,0.0008
-0.9954,-0.0471,0.1182,0.0017
