ax,newAx,lin_ax,new_lin_ax
0.0181,0.0016,0.0012,-0.0042
0.0107,0.0024,0.0016,-0.0041
0.0068,0.0028,0.0017,-0.0039
0.0122,0.0037,0.0023,-0.0038
0.0059,0.0039,0.0022,-0.0036
0.0034,0.0038,0.0019,-0.0035
0.0068,0.0041,0.0020,-0.0034
0.0090,0.0046,0.0022,-0.0033
0.0071,0.0048,0.0022,-0.0032
0.0083,0.0051,0.0023,-0.0031
0.0098,0.0055,0.0025,-0.0029
0.0120,0.0061,0.0029,-0.0028
0.0054,0.0060,0.0026,-0.0027
0.0129,0.0067,0.0030,-0.0026
0.0100,0.0070,0.0031,-0.0025
0.0073,0.0070,0.0029,-0.0024
0.0117,0.0074,0.0030,-0.0023
0.0090,0.0076,0.0029,-0.0022
0.0032,0.0072,0.0022,-0.0022
0.0176,0.0081,0.0028,-0.0021
0.0054,0.0079,0.0022,-0.0021
0.0103,0.0081,0.0021,-0.0021
0.0044,0.0077,0.0014,-0.0022
0.0071,0.0077,0.0010,-0.0023
0.0151,0.0084,0.0013,-0.0024
0.0137,0.0088,0.0012,-0.0024
0.0083,0.0088,0.0006,-0.0025
0.0151,0.0094,0.0005,-0.0027
0.0142,0.0098,0.0002,-0.0028
0.0090,0.0097,0.0007,-0.0029
0.0161,0.0103,0.0005,-0.0029
0.0078,0.0101,0.0008,-0.0030
0.0068,0.0098,0.0007,-0.0031
0.0105,0.0098,0.0007,-0.0031
0.0171,0.0105,0.0008,-0.0031
0.0105,0.0105,0.0006,-0.0032
0.0068,0.0102,0.0009,-0.0032
0.0085,0.0100,0.0001,-0.0033
0.0078,0.0098,0.0004,-0.0034
0.0037,0.0093,0.0004,-0.0034
0.0117,0.0095,0.0008,-0.0034
0.0056,0.0091,0.0011,-0.0034
0.0142,0.0096,0.0008,-0.0034
0.0071,0.0094,0.0009,-0.0034
0.0051,0.0090,0.0012,-0.0034
0.0122,0.0093,0.0007,-0.0034
0.0088,0.0092,0.0011,-0.0034
0.0056,0.0089,0.0009,-0.0034
0.0078,0.0088,0.0008,-0.0034
0.0076,0.0087,0.0008,-0.0034
0.0090,0.0087,0.0008,-0.0034
0.0071,0.0086,0.0008,-0.0034
0.0142,0.0091,0.0010,-0.0034
0.0085,0.0090,0.0008,-0.0034
0.0059,0.0087,0.0014,-0.0034
0.0125,0.0091,0.0009,-0.0034
0.0085,0.0090,0.0008,-0.0034
0.0083,0.0090,0.0009,-0.0034
0.0056,0.0087,0.0010,-0.0034
0.0188,0.0096,0.0012,-0.0034
0.0042,0.0091,0.0014,-0.0033
0.0125,0.0094,0.0010,-0.0033
0.0107,0.0095,0.0009,-0.0033
0.0115,0.0097,0.0006,-0.0034
0.0083,0.0096,0.0011,-0.0033
0.0115,0.0097,0.0009,-0.0033
0.0146,0.0102,0.0007,-0.0034
0.0122,0.0104,0.0015,-0.0033
0.0103,0.0104,0.0012,-0.0033
0.0076,0.0101,0.0010,-0.0033
0.0000,0.0092,0.0009,-0.0033
0.0129,0.0095,0.0008,-0.0033
0.0105,0.0096,0.0009,-0.0033
0.0032,0.0090,0.0012,-0.0033
0.0132,0.0094,0.0010,-0.0033
0.0078,0.0093,0.0010,-0.0033
0.0073,0.0091,0.0011,-0.0033
0.0095,0.0091,0.0009,-0.0033
0.0042,0.0087,0.0008,-0.0033
0.0105,0.0088,0.0005,-0.0034
0.0100,0.0089,0.0015,-0.0033
0.0095,0.0090,0.0010,-0.0033
0.0039,0.0085,0.0008,-0.0033
0.0034,0.0081,0.0009,-0.0033
0.0122,0.0085,0.0007,-0.0034
0.0103,0.0086,0.0001,-0.0034
0.0142,0.0091,0.0014,-0.0034
0.0078,0.0090,0.0005,-0.0034
0.0132,0.0094,0.0009,-0.0034
0.0063,0.0091,0.0013,-0.0034
0.0081,0.0090,0.0004,-0.0034
0.0110,0.0092,0.0014,-0.0034
0.0186,0.0100,0.0015,-0.0033
0.0090,0.0099,0.0010,-0.0033
0.0051,0.0095,0.0010,-0.0033
0.0039,0.0090,0.0011,-0.0033
0.0093,0.0090,0.0006,-0.0033
0.0095,0.0091,0.0014,-0.0033
0.0051,0.0087,0.0008,-0.0033
0.0042,0.0083,0.0012,-0.0033
0.0100,0.0085,0.0006,-0.0033
0.0117,0.0088,0.0008,-0.0033
0.0076,0.0086,0.0015,-0.0033
0.0144,0.0092,0.0015,-0.0032
0.0063,0.0089,0.0008,-0.0033
0.0137,0.0093,0.0006,-0.0033
0.0105,0.0094,0.0014,-0.0033
0.0120,0.0097,0.0008,-0.0033
0.0122,0.0099,0.0007,-0.0033
0.0073,0.0097,0.0008,-0.0033
0.0049,0.0092,0.0010,-0.0033
0.0076,0.0091,0.0010,-0.0033
0.0125,0.0094,0.0007,-0.0034
0.0127,0.0097,0.0010,-0.0034
0.0110,0.0098,0.0007,-0.0034
0.0071,0.0096,0.0012,-0.0034
0.0154,0.0101,0.0011,-0.0033
0.0027,0.0094,0.0010,-0.0033
0.0083,0.0093,0.0008,-0.0033
0.0105,0.0094,0.0009,-0.0034
0.0095,0.0094,0.0009,-0.0034
0.0105,0.0095,0.0007,-0.0034
0.0029,0.0089,0.0009,-0.0034
0.0081,0.0089,0.0009,-0.0034
0.0093,0.0089,0.0002,-0.0035
0.0017,0.0082,0.0003,-0.0035
0.0107,0.0085,0.0011,-0.0035
0.0110,0.0087,0.0006,-0.0035
0.0020,0.0081,0.0008,-0.0035
0.0105,0.0083,0.0007,-0.0035
0.0144,0.0089,0.0008,-0.0035
0.0076,0.0087,0.0012,-0.0035
0.0107,0.0089,0.0008,-0.0035
0.0073,0.0088,0.0009,-0.0035
0.0085,0.0088,0.0008,-0.0035
0.0066,0.0086,0.0010,-0.0035
0.0100,0.0087,0.0009,-0.0035
0.0154,0.0093,0.0010,-0.0034
0.0056,0.0090,0.0011,-0.0034
0.0090,0.0090,0.0006,-0.0035
0.0112,0.0092,0.0015,-0.0034
0.0066,0.0089,0.0009,-0.0034
0.0095,0.0090,0.0008,-0.0034
0.0151,0.0095,0.0006,-0.0034
0.0061,0.0092,0.0011,-0.0034
0.0066,0.0090,0.0009,-0.0034
0.0071,0.0088,0.0009,-0.0034
0.0032,0.0083,0.0010,-0.0034
0.0112,0.0086,0.0007,-0.0034
0.0085,0.0086,0.0011,-0.0034
0.0068,0.0084,0.0003,-0.0034
0.0107,0.0086,0.0008,-0.0034
0.0100,0.0088,0.0005,-0.0035
0.0139,0.0092,0.0008,-0.0035
0.0151,0.0097,0.0006,-0.0035
0.0103,0.0098,0.0011,-0.0035
0.0144,0.0102,0.0010,-0.0035
0.0120,0.0104,0.0009,-0.0034
0.0095,0.0103,0.0014,-0.0034
0.0085,0.0101,0.0010,-0.0034
0.0107,0.0102,0.0010,-0.0034
0.0000,0.0093,0.0009,-0.0034
0.0127,0.0096,0.0008,-0.0034
0.0088,0.0095,0.0015,-0.0033
0.0110,0.0096,0.0010,-0.0033
0.0122,0.0099,0.0008,-0.0034
0.0059,0.0095,0.0012,-0.0033
0.0073,0.0093,0.0009,-0.0033
0.0085,0.0092,0.0010,-0.0033
0.0110,0.0094,0.0008,-0.0034
0.0137,0.0098,0.0009,-0.0034
0.0115,0.0099,0.0005,-0.0034
0.0139,0.0103,0.0017,-0.0033
0.0078,0.0101,0.0009,-0.0033
0.0137,0.0104,0.0008,-0.0034
0.0054,0.0099,0.0011,-0.0033
0.0063,0.0096,0.0010,-0.0033
0.0093,0.0096,0.0007,-0.0034
0.0066,0.0093,0.0008,-0.0034
0.0149,0.0098,0.0010,-0.0034
0.0151,0.0103,0.0010,-0.0034
0.0073,0.0100,0.0014,-0.0033
0.0137,0.0104,0.0010,-0.0033
0.0107,0.0104,0.0010,-0.0033
0.0105,0.0104,0.0008,-0.0033
0.0083,0.0102,0.0013,-0.0033
0.0063,0.0099,0.0010,-0.0033
0.0117,0.0100,0.0005,-0.0034
0.0081,0.0099,0.0010,-0.0034
0.0083,0.0097,0.0010,-0.0033
0.0103,0.0098,0.0005,-0.0034
0.0137,0.0101,0.0013,-0.0034
0.0149,0.0105,0.0013,-0.0033
0.0137,0.0108,0.0009,-0.0033
0.0090,0.0107,0.0014,-0.0033
0.0051,0.0102,0.0017,-0.0032
0.0054,0.0097,0.0008,-0.0033
0.0071,0.0095,0.0009,-0.0033
0.0083,0.0094,0.0011,-0.0033
0.0107,0.0095,0.0007,-0.0033
0.0110,0.0096,0.0010,-0.0033
0.0093,0.0096,0.0008,-0.0033
0.0088,0.0095,0.0009,-0.0033
0.0042,0.0091,0.0009,-0.0033
0.0051,0.0087,0.0011,-0.0033
0.0137,0.0091,0.0008,-0.0033
0.0100,0.0092,0.0009,-0.0033
0.0078,0.0091,0.0009,-0.0033
0.0154,0.0097,0.0011,-0.0033
0.0098,0.0097,0.0010,-0.0033
0.0093,0.0096,0.0010,-0.0033
0.0068,0.0094,0.0015,-0.0033
0.0154,0.0099,0.0014,-0.0033
0.0066,0.0096,0.0009,-0.0033
0.0156,0.0102,0.0008,-0.0033
0.0088,0.0100,0.0014,-0.0033
0.0117,0.0102,0.0008,-0.0033
0.0098,0.0102,0.0011,-0.0033
0.0000,0.0092,0.0009,-0.0033
0.0049,0.0088,0.0013,-0.0033
0.0151,0.0094,0.0012,-0.0033
0.0078,0.0093,0.0009,-0.0033
0.0122,0.0095,0.0006,-0.0033
0.0115,0.0097,0.0014,-0.0033
0.0115,0.0099,0.0008,-0.0033
0.0107,0.0099,0.0010,-0.0033
0.0054,0.0095,0.0014,-0.0033
0.0081,0.0094,0.0006,-0.0033
0.0127,0.0097,0.0010,-0.0033
0.0129,0.0100,0.0005,-0.0033
0.0105,0.0100,0.0012,-0.0033
0.0146,0.0105,0.0009,-0.0033
0.0198,0.0113,0.0011,-0.0033
0.0044,0.0107,0.0011,-0.0033
0.0127,0.0109,0.0009,-0.0033
0.0090,0.0107,0.0016,-0.0033
0.0120,0.0108,0.0011,-0.0032
0.0095,0.0107,0.0011,-0.0032
0.0125,0.0108,0.0009,-0.0033
0.0063,0.0104,0.0013,-0.0032
0.0046,0.0099,0.0015,-0.0032
0.0115,0.0101,0.0010,-0.0032
0.0076,0.0098,0.0013,-0.0032
0.0107,0.0099,0.0007,-0.0032
0.0115,0.0101,0.0010,-0.0032
0.0129,0.0103,0.0005,-0.0033
0.0054,0.0099,0.0008,-0.0033
0.0063,0.0096,0.0009,-0.0033
0.0156,0.0101,0.0008,-0.0033
0.0066,0.0098,0.0010,-0.0033
0.0122,0.0100,0.0009,-0.0033
0.0105,0.0100,0.0010,-0.0033
0.0137,0.0104,0.0011,-0.0033
0.0098,0.0103,0.0010,-0.0033
0.0110,0.0104,0.0010,-0.0033
0.0171,0.0110,0.0010,-0.0033
0.0190,0.0117,0.0010,-0.0033
0.0100,0.0116,0.0014,-0.0033
0.0156,0.0119,0.0011,-0.0033
0.0056,0.0114,0.0012,-0.0032
0.0037,0.0107,0.0013,-0.0032
